Neighborhood,OpenTime,CaseID
Alamo Square,3 days 04:03:59.753424657,252
Anza Vista,4 days 15:34:21.985714285,76
Apparel City,1 days 22:10:47.308823529,72
Aquatic Park / Ft. Mason,0 days 23:16:31.140740740,143
Ashbury Heights,2 days 07:45:51.923076923,92
Balboa Terrace,4 days 09:06:17.875000,21
Bayview,1 days 22:14:18.159592529,629
Bernal Heights,2 days 06:46:04.902621722,607
Bret Harte,2 days 10:11:19.805369127,170
Buena Vista,5 days 06:07:23.040441176,342
Candlestick Point SRA,4 days 20:00:35.111111111,34
Castro,2 days 08:08:19.418181818,385
Cathedral Hill,2 days 08:00:36.235059760,539
Cayuga,1 days 02:43:02.912371134,199
Central Waterfront,4 days 14:37:44.233082706,155
Chinatown,2 days 23:08:20.982503364,827
Civic Center,2 days 10:34:05.257142857,582
Clarendon Heights,3 days 19:20:43.583333333,27
Cole Valley,3 days 06:25:50.836363636,198
Corona Heights,2 days 14:59:38.333333333,92
Cow Hollow,2 days 10:40:01.983333333,64
Crocker Amazon,1 days 12:34:14.634482758,153
Diamond Heights,4 days 04:34:49.666666666,55
Dogpatch,2 days 14:59:41.061855670,108
Dolores Heights,3 days 10:12:24.014423076,233
Downtown / Union Square,2 days 19:16:13.426332288,351
Duboce Triangle,2 days 02:43:28.173493975,480
Eureka Valley,2 days 22:33:43.280821917,172
Excelsior,1 days 17:21:27.692307692,543
Fairmount,1 days 20:39:24.142857142,58
Financial District,1 days 10:25:28.168402777,619
Fisherman's Wharf,0 days 21:52:16.983539094,253
Forest Hill,2 days 21:23:25.986301369,88
Forest Knolls,3 days 05:16:55.666666666,28
Glen Park,2 days 03:33:28.037500,86
Golden Gate Heights,1 days 23:25:56.479591836,109
Golden Gate Park,3 days 16:28:36.008474576,283
Haight Ashbury,3 days 03:26:33.760450160,715
Hayes Valley,3 days 06:32:59.748743718,452
Holly Park,1 days 16:12:16.270676691,145
Hunters Point,1 days 07:11:11.865168539,191
India Basin,1 days 03:12:23.710526315,44
Ingleside,1 days 06:15:27.329268292,260
Ingleside Terraces,5 days 20:39:27.466666666,36
Inner Richmond,1 days 07:46:18.347615198,1277
Inner Sunset,1 days 07:26:12.900826446,516
Japantown,2 days 23:33:43.807881773,225
Laguna Honda,3 days 05:40:07.100000,38
Lake Street,1 days 11:11:47.131578947,79
Lakeshore,2 days 22:35:15.565217391,79
Laurel Heights / Jordan Park,1 days 12:42:17.268656716,281
Lincoln Park / Ft. Miley,1 days 21:54:10.666666666,7
Little Hollywood,3 days 04:22:02.400000,27
Lone Mountain,1 days 10:37:46.957295373,322
Lower Haight,3 days 05:33:59.620879120,650
Lower Nob Hill,2 days 04:39:28.337889142,1424
Lower Pacific Heights,3 days 05:02:01.410714285,367
Marina,2 days 05:51:45.208913649,395
McLaren Park,2 days 23:15:30.653846153,31
Merced Heights,1 days 06:01:47.335664335,150
Merced Manor,5 days 06:32:18.862068965,73
Midtown Terrace,3 days 03:17:16.911764705,41
Mint Hill,1 days 10:46:10.356321839,95
Miraloma Park,2 days 07:39:56.352941176,96
Mission,2 days 08:44:30.616751952,4095
Mission Bay,3 days 03:00:40.589147286,168
Mission Dolores,2 days 21:08:14.929292929,597
Mission Terrace,2 days 11:43:24.089147286,275
Monterey Heights,3 days 16:06:52.300000,11
Mt. Davidson Manor,2 days 05:43:53.500000,46
Nob Hill,1 days 16:15:07.162520729,670
Noe Valley,2 days 01:21:01.654618473,272
North Beach,3 days 01:08:35.954627949,586
Northern Waterfront,1 days 18:18:45.559183673,265
Oceanview,2 days 00:26:23.739726027,159
Outer Mission,1 days 17:42:43.462500,86
Outer Richmond,1 days 03:46:50.338221814,1133
Outer Sunset,1 days 16:08:11.452933151,1561
Pacific Heights,1 days 19:58:54.994575045,613
Panhandle,3 days 02:07:04.851923076,575
Parkmerced,4 days 20:12:11.933333333,34
Parkside,2 days 21:14:23.699134199,506
Parnassus Heights,1 days 11:11:24.930693069,105
Peralta Heights,3 days 17:01:44.959183673,55
Polk Gulch,1 days 14:16:31.180156657,415
Portola,1 days 13:37:12.327450980,545
Potrero Hill,3 days 16:25:10.534246575,1005
Presidio Heights,2 days 05:47:55.939759036,90
Presidio National Park,4 days 04:39:51.066666666,16
Presidio Terrace,1 days 05:34:51.768115942,69
Produce Market,4 days 11:24:37.518987341,89
Rincon Hill,2 days 05:58:33.460674157,113
Russian Hill,2 days 01:44:35.483050847,518
Seacliff,2 days 22:28:33.833333333,20
Sherwood Forest,4 days 23:36:39.562500,17
Showplace Square,3 days 10:28:25.878504672,118
Silver Terrace,2 days 15:08:36.106508875,220
South Beach,2 days 07:07:23.683333333,197
South of Market,3 days 04:40:32.361218568,2322
St. Francis Wood,5 days 14:18:38.315789473,21
St. Mary's Park,1 days 05:43:03.145299145,126
Stonestown,3 days 23:13:23.400000,71
Sunnydale,0 days 06:35:54.733333333,21
Sunnyside,2 days 18:21:26.570000,115
Sutro Heights,3 days 13:17:04.042553191,53
Telegraph Hill,3 days 10:11:52.042857142,83
Tenderloin,2 days 15:18:33.119966442,1268
Treasure Island,2 days 10:13:38,2
Union Street,0 days 22:36:58.440000,416
University Mound,0 days 22:18:06.719298245,60
Upper Market,4 days 10:24:21.062500,93
Visitacion Valley,1 days 09:39:30.487179487,246
West Portal,1 days 19:05:03.544776119,289
Western Addition,2 days 23:59:47.578125,696
Westwood Highlands,6 days 02:19:14.714285714,16
Westwood Park,3 days 00:02:28.840909090,59
Yerba Buena Island,12 days 19:52:11.333333333,3
